cidade,tipo_agregacao,shannon_index,area_km2,perimetro_km,pa_ratio,edge_density,num_patches_4conn,num_patches_8conn,patch_density,mean_patch_area_km2,median_patch_area_km2,greatest_patch_area_km2,smallest_patch_area_km2,largest_patch_index,mean_shape_ratio,patch_cohesion,landscape_proportion,area_total_km2
londrina,built_up,1.8586473751266994,106.9871506275,513.5394,4.800010066517275,4.800010066517275,141,110,0.5026001408886203,0.9726104602499996,0.023958605,96.912557225,0.0119793025,44.28024083196497,1.4322492104107423,99.24369079916744,48.88341543513957,218.86185667499998
ibipora,built_up,1.564567140997422,14.614749049999999,102.6641,7.02469126556778,7.02469126556778,59,43,0.9196834525505064,0.33987788488372095,0.023958605,12.84181228,0.0119793025,27.46605175506021,1.3841303272912269,96.99346130097459,31.258006661542403,46.7552176575
cambe,built_up,1.455991822368319,26.3544655,147.7575,5.606545122305743,5.606545122305743,51,35,0.49478509751555405,0.7529847285714286,0.023958605,22.7007782375,0.0119793025,32.091447925486875,1.5401985038186838,97.87234818387086,37.25656223539374,70.73778126250001
apucarana,built_up,1.703847605674368,34.236846545,208.1739,6.080405206898415,6.080405206898415,89,67,0.6229650321597755,0.5109977096268656,0.023958605,30.33159393,0.0119793025,28.202272220984632,1.4165972024894429,98.13461615893985,31.833370461127195,107.550177845
arapongas,built_up,1.4352889263076538,33.709757235,211.0196,6.259896757159189,6.259896757159189,101,66,0.5206977359815759,0.5107538975,0.023958605,26.40238271,0.0119793025,20.829789244872885,1.5510720228751091,97.05167139128693,26.594839807201588,126.7529997525
cambira,built_up,1.1368237867525897,2.0963779375,13.024550000000001,6.212882594792144,6.212882594792144,4,3,1.052235054320293,0.6987926458333334,0.08385511749999999,2.0005435175,0.0119793025,70.16806722689076,1.608609561445397,97.47926135047888,73.52941176470588,2.851073995
jandaia,built_up,1.7382016070623905,6.959974752499999,41.8099,6.00719133140275,6.00719133140275,14,12,0.5916879927424211,0.5799978960416666,0.0119793025,6.780285215,0.0119793025,33.431777909037216,1.4176477569825379,97.51550459534721,34.31777909037212,20.2809591325
mandaguari,built_up,1.2981268628778737,9.87094526,63.043200000000006,6.386743958095864,6.386743958095864,41,33,0.7825998216507181,0.29911955333333334,0.0119793025,8.4933254725,0.0119793025,20.142045454545453,1.3536882819128164,95.20771462055298,23.40909090909091,42.167144799999996
marialva,built_up,1.54053625760085,9.858965957499999,70.59525,7.160512603889879,7.160512603889879,36,24,0.8806397993080607,0.4107902482291666,0.023958605,7.7266501125,0.0119793025,28.35164835164835,1.5542163023472206,95.4822900596535,36.175824175824175,27.2529131875
rolandia,built_up,1.7705742122243229,19.2267805125,106.71375,5.55026619930579,5.55026619930579,35,27,0.5976896012606915,0.7121029819444442,0.023958605,17.5257195575,0.0119793025,38.79607531158844,1.5016937490304647,98.10997796494978,42.561654733492446,45.1739497275
sarandi,built_up,1.459248745981784,19.0590702775,62.49595000000001,3.2790660347046936,3.2790660347046936,10,6,0.21386160796603737,3.1765117129166662,0.041927558749999996,18.903339345,0.0119793025,67.37830913748932,1.6966457041369463,99.37447466998343,67.933390264731,28.055526455
maringa,built_up,1.7376158621880171,91.4140573775,356.807,3.9031961848771624,3.9031961848771624,54,30,0.21913890700755143,3.0471352459166665,0.023958605,89.1260106,0.0119793025,65.10325516275813,1.6708217621962003,99.6339614137399,66.77458872943647,136.89946897
