cidade,tipo_agregacao,shannon_index,area_km2,perimetro_km,pa_ratio,edge_density,num_patches_4conn,num_patches_8conn,patch_density,mean_patch_area_km2,median_patch_area_km2,greatest_patch_area_km2,smallest_patch_area_km2,largest_patch_index,mean_shape_ratio,patch_cohesion,landscape_proportion,area_total_km2
londrina,industrial,1.8586473751266994,20.55648309,366.2197,17.81528962890315,17.81528962890315,382,312,1.4255567632477228,0.06588616375,0.0119793025,3.7734802875,0.0119793025,1.7241379310344827,1.3397453943992996,81.713071166341,9.392446633825944,218.86185667499998
ibipora,industrial,1.564567140997422,3.3302460949999997,62.3865,18.733300248791373,18.733300248791373,77,65,1.3902191724600679,0.05123455530769231,0.0119793025,0.7786546624999999,0.0119793025,1.6653856008198822,1.284170691448443,73.21282290432791,7.122726108121958,46.7552176575
cambe,industrial,1.455991822368319,5.869858225,105.94760000000001,18.049430827607427,18.049430827607427,122,97,1.3712615559716785,0.060514002319587624,0.0119793025,1.269806065,0.0119793025,1.7950889077053345,1.3126663209208955,77.13051860311244,8.29805249788315,70.73778126250001
apucarana,industrial,1.703847605674368,7.618836389999999,151.6977,19.910875130368826,19.910875130368826,167,126,1.171546179882563,0.06046695547619048,0.023958605,1.4375163,0.0119793025,1.3366005791935844,1.3725703444119512,78.5269416994038,7.0839830697259965,107.550177845
arapongas,industrial,1.4352889263076538,9.6672971175,165.2695,17.095729860296185,17.095729860296185,169,126,0.9940593141466448,0.07672458029761907,0.0119793025,2.5995086425,0.0119793025,2.050845855779227,1.3784263995876025,82.1022533339597,7.626878366884037,126.7529997525
cambira,industrial,1.1368237867525897,0.2515653525,5.144150000000001,20.448563162131002,20.448563162131002,7,7,2.4552151267473503,0.0359379075,0.023958605,0.09583442,0.0119793025,3.361344537815126,1.1857903415904059,48.45207995400674,8.823529411764707,2.851073995
jandaia,industrial,1.7382016070623905,1.605226535,31.0838,19.364120466648032,19.364120466648032,37,34,1.6764493127701932,0.04721254514705882,0.0119793025,0.4192755875,0.0119793025,2.067336089781453,1.2860977442963482,66.15111083237566,7.914943886591849,20.2809591325
mandaguari,industrial,1.2981268628778737,2.7672188775,49.909200000000006,18.035870023078797,18.035870023078797,62,54,1.2806178899739022,0.05124479402777777,0.0119793025,1.15001304,0.0119793025,2.727272727272727,1.268102842343376,75.00827545196738,6.5625,42.167144799999996
marialva,industrial,1.54053625760085,2.851073995,58.33685,20.461359509541595,20.461359509541595,62,44,1.6145062987314447,0.06479713625,0.023958605,0.6349030325,0.0119793025,2.3296703296703294,1.4712938108713878,73.455696849372,10.461538461538462,27.2529131875
rolandia,industrial,1.7705742122243229,4.8037003025,82.19695,17.111173641957237,17.111173641957237,82,62,1.372472417709736,0.07747903713709677,0.0119793025,1.3177232749999999,0.0119793025,2.916998143728454,1.3852325373987973,80.33971536694091,10.633784142137365,45.1739497275
sarandi,industrial,1.459248745981784,2.659405155,49.909200000000006,18.76705394293334,18.76705394293334,54,41,1.4613876544345887,0.06486354036585365,0.0119793025,1.19793025,0.0119793025,4.269854824935952,1.3419492652340195,82.55071829138764,9.479077711357814,28.055526455
maringa,industrial,1.7376158621880171,23.33568127,390.40815000000003,16.730094377056087,16.730094377056087,390,289,2.1110381375060787,0.08074630197231834,0.0119793025,4.69588658,0.0119793025,3.430171508575429,1.3892520828498252,86.22324800213038,17.04585229261463,136.89946897
