Land Cover Class,Londrina,Cambé,Ibiporã,Apucarana,Arapongas,Cambira,Jandaia do Sul,Mandaguari,Marialva,Rolândia,Sarandi,Maringá
Developed: High Density,"4,43","0,01","0,01","0,36","0,11","0,00","0,05","0,00","0,00","0,01","0,01","1,23"
Developed: Medium Density,"16,90","2,45","0,75","4,04","2,86","0,06","0,43","0,39","1,33","1,65","2,19","9,97"
Developed: Low Density,"64,98","17,97","10,49","22,20","21,22","1,78","4,86","6,69","5,68","12,73","14,16","57,17"
Developed: Industrial Areas,"20,51","5,86","3,32","7,64","9,72","0,25","1,60","2,76","2,84","4,79","2,65","23,32"
Bare Soil,"6,81","1,84","1,23","2,59","2,14","0,10","2,02","0,78","1,02","1,18","0,91","4,24"
Grass/Pasture,"6,62","1,05","1,25","4,60","8,72","0,00","0,65","1,30","1,94","4,00","1,40","6,91"
Shrub/Scrubs,"11,03","3,56","2,84","5,25","2,38","0,02","1,79","1,53","0,67","2,16","0,38","4,16"
Perennial Trees,"21,33","2,51","4,91","14,82","8,47","0,05","1,21","2,46","0,53","3,07","0,19","7,90"
Perennial Water,"2,34","0,10","0,12","0,99","0,38","0,00","0,02","0,13","0,02","0,45","0,01","0,35"
Row Crops,"63,77","35,22","21,70","45,58","71,53","0,59","7,60","26,02","13,43","15,01","6,08","21,97"
Totals (km²),"218,72","70,57","46,62","108,07","127,53","2,85","20,23","42,06","27,46","45,05","27,98","137,22"
,,,,,,,,,,,,
built up,"106,82","26,29","14,57","34,24","33,91","2,09","6,94","9,84","9,85","19,18","19,01","91,69"
